feature,time,data
2016/5/9 0:00,0,0
2016/5/9 0:15,15,0
2016/5/9 0:30,30,0
2016/5/9 0:45,45,0
2016/5/9 1:00,60,0
2016/5/9 1:15,75,0
2016/5/9 1:30,90,0
2016/5/9 1:45,105,0
2016/5/9 2:00,120,0
2016/5/9 2:15,135,0
2016/5/9 2:30,150,0
2016/5/9 2:45,165,0
2016/5/9 3:00,180,0
2016/5/9 3:15,195,0
2016/5/9 3:30,210,0
2016/5/9 3:45,225,0
2016/5/9 4:00,240,0
2016/5/9 4:15,255,0
2016/5/9 4:30,270,0
2016/5/9 4:45,285,0
2016/5/9 5:00,300,0
2016/5/9 5:15,315,0
2016/5/9 5:30,330,0
2016/5/9 5:45,345,0
2016/5/9 6:00,360,0
2016/5/9 6:15,375,0
2016/5/9 6:30,390,0
2016/5/9 6:45,405,0
2016/5/9 7:00,420,0
2016/5/9 7:15,435,0
2016/5/9 7:30,450,0
2016/5/9 7:45,465,0
2016/5/9 8:00,480,0
2016/5/9 8:15,495,0
2016/5/9 8:30,510,0
2016/5/9 8:45,525,48
2016/5/9 9:00,540,48
2016/5/9 9:15,555,48
2016/5/9 9:30,570,48
2016/5/9 9:45,585,48
2016/5/9 10:00,600,48
2016/5/9 10:15,615,48
2016/5/9 10:30,630,48
2016/5/9 10:45,645,48
2016/5/9 11:00,660,48
2016/5/9 11:15,675,48
2016/5/9 11:30,690,48
2016/5/9 11:45,705,48
2016/5/9 12:00,720,48
2016/5/9 12:15,735,48
2016/5/9 12:30,750,48
2016/5/9 12:45,765,48
2016/5/9 13:00,780,48
2016/5/9 13:15,795,48
2016/5/9 13:30,810,48
2016/5/9 13:45,825,48
2016/5/9 14:00,840,48
2016/5/9 14:15,855,48
2016/5/9 14:30,870,48
2016/5/9 14:45,885,48
2016/5/9 15:00,900,48
2016/5/9 15:15,915,48
2016/5/9 15:30,930,48
2016/5/9 15:45,945,48
2016/5/9 16:00,960,48
2016/5/9 16:15,975,48
2016/5/9 16:30,990,48
2016/5/9 16:45,1005,48
2016/5/9 17:00,1020,48
2016/5/9 17:15,1035,48
2016/5/9 17:30,1050,48
